"";"Names";"Class";"N.spectra";"Archive";"Code"
"1";"Cnt1.Exp1";"Cnt";1;"Folder.1";10
"2";"Cnt2.Exp1";"Cnt";2;"Folder.1";11
"3";"Cnt1.Exp2";"Cnt";2;"Folder.1";13
"4";"Cnt2.Exp2";"Cnt";2;"Folder.1";15
"5";"Cnt1.Exp3";"Cnt";2;"Folder.1";17
"6";"Cnt2.Exp3";"Cnt";2;"Folder.1";19
"7";"Cnt1.Exp4";"Cnt";2;"Folder.1";21
"8";"Cnt2.Exp4";"Cnt";2;"Folder.1";23
"9";"Cnt1.Exp5";"Cnt";2;"Folder.1";25
"10";"Cnt1.Exp6";"Cnt";2;"Folder.1";27
"11";"Cnt2.Exp6";"Cnt";2;"Folder.1";29
"12";"Cnt3.Exp6";"Cnt";2;"Folder.1";31
"13";"Cnt4.Exp6";"Cnt";2;"Folder.1";33
"14";"Cnt1.Exp7";"Cnt";2;"Folder.1";35
"15";"Cnt2.Exp7";"Cnt";2;"Folder.1";37
"16";"Cnt3.Exp7";"Cnt";2;"Folder.1";39
"17";"Cnt4.Exp7";"Cnt";2;"Folder.1";41
"18";"Cnt1.Exp8";"Cnt";2;"Folder.1";43
"19";"Cnt2.Exp8";"Cnt";2;"Folder.1";45
"20";"Cnt3.Exp8";"Cnt";2;"Folder.1";47
"21";"Cnt4.Exp8";"Cnt";2;"Folder.1";49
"22";"Cnt5.Exp8";"Cnt";2;"Folder.1";51
"23";"Cnt6.Exp8";"Cnt";2;"Folder.1";53
"24";"Cnt7.Exp8";"Cnt";2;"Folder.1";55
"25";"Cnt8.Exp8";"Cnt";2;"Folder.1";57
"26";"IS1.Exp8";"IS";2;"Folder.1";59
"27";"IS2.Exp8";"IS";2;"Folder.1";61
"28";"IS3.Exp8";"IS";2;"Folder.1";63
"29";"IS4.Exp8";"IS";2;"Folder.1";65
"30";"IS5.Exp8";"IS";2;"Folder.1";67
"31";"IS1.Exp10";"IS";2;"Folder.1";69
"32";"IS2.Exp10";"IS";2;"Folder.1";71
"33";"IS3.Exp10";"IS";2;"Folder.1";73
"34";"IS4.Exp10";"IS";2;"Folder.1";75
"35";"IS5.Exp10";"IS";2;"Folder.1";77
"36";"IS6.Exp10";"IS";2;"Folder.1";79
"37";"IS7.Exp10";"IS";2;"Folder.1";81
"38";"IS8.Exp10";"IS";2;"Folder.1";83
"39";"IS9.Exp10";"IS";2;"Folder.1";85
"40";"IS1.Exp12";"IS";2;"Folder.2";10
"41";"IS2.Exp12";"IS";2;"Folder.2";12
"42";"IS3.Exp12";"IS";2;"Folder.2";14
"43";"IS4.Exp12";"IS";2;"Folder.2";16
"44";"IS5.Exp12";"IS";2;"Folder.2";18
"45";"IS1.Exp13";"IS";2;"Folder.2";20
"46";"IS2.Exp13";"IS";2;"Folder.2";22
"47";"IS3.Exp13";"IS";2;"Folder.2";24
"48";"IS4.Exp13";"IS";2;"Folder.2";26
"49";"LPS1.Exp1";"LPS";2;"Folder.2";28
"50";"LPS2.Exp1";"LPS";1;"Folder.2";30
"51";"LPS1.Exp2";"LPS";2;"Folder.2";31
"52";"LPS2.Exp2";"LPS";2;"Folder.2";33
"53";"LPS1.Exp4";"LPS";2;"Folder.2";35
"54";"LPS2.Exp4";"LPS";2;"Folder.2";37
"55";"LPS1.Exp7";"LPS";2;"Folder.2";39
"56";"LPS2.Exp7";"LPS";2;"Folder.2";41
"57";"LPS3.Exp7";"LPS";2;"Folder.2";43
"58";"LPS4.Exp7";"LPS";2;"Folder.2";45
"59";"LPS5.Exp7";"LPS";2;"Folder.2";47
"60";"LPS1.Exp8";"LPS";2;"Folder.2";49
"61";"LPS2.Exp8";"LPS";2;"Folder.2";51
"62";"LPS3.Exp8";"LPS";2;"Folder.2";53
"63";"LPS4.Exp8";"LPS";2;"Folder.2";55
"64";"LPS5.Exp8";"LPS";2;"Folder.2";57
"65";"LPS1.Exp9";"LPS";2;"Folder.2";59
"66";"LPS2.Exp9";"LPS";2;"Folder.2";61
"67";"LPS3.Exp9";"LPS";2;"Folder.2";63
"68";"LPS4.Exp9";"LPS";2;"Folder.2";65
"69";"LPS5.Exp9";"LPS";2;"Folder.2";67
"70";"LPS1.Exp11";"LPS";2;"Folder.2";69
"71";"LPS2.Exp11";"LPS";2;"Folder.2";71
"72";"LPS3.Exp11";"LPS";2;"Folder.2";73
"73";"LPS4.Exp11";"LPS";2;"Folder.2";75
"74";"LPS5.Exp11";"LPS";2;"Folder.2";77
"75";"LPS6.Exp11";"LPS";2;"Folder.2";79
"76";"LPS7.Exp11";"LPS";2;"Folder.2";81
"77";"LPS8.Exp11";"LPS";2;"Folder.2";83
